ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
ASD1878,strabismus of left eye,A2,abnormalities in eye contact,C2020540,
ASD1879,other language,A2,abnormalities in body language,C3257968,
ASD1880,abderhalden kaufmann lignac syndrome,E,intellectual developmental disorder,C2930877,
ASD1881,unintelligible,B1,echolalia,C3842809,
ASD1882,wj-iii ach academic skills standard score,E,intellectual developmental disorder,C4063407,
ASD1883,cerebral salt-wasting syndrome,E,intellectual developmental disorder,C0241831,
ASD1884,giacheti syndrome,E,intellectual developmental disorder,C2752043,
ASD1885,behavior accompanying sex,B2,ritualized patterns of nonverbal behavior,C0556634,
ASD1886,difficulty making conversation,A1,failure of normal back-and-forth conversation,C0566063,
ASD1887,"reserves, cognitive",E,intellectual developmental disorder,C2936352,
ASD1888,marked rigidity,B1,stereotyped motor movements,C0857143,
ASD1889,dysarthric speech or dysfluency (in some patients),B1,echolalia,C4227336,
ASD1890,milestones assessment,E,global developmental delay,C2229183,
ASD1891,cognitive complexity,B1,echolalia,C0237521,
ASD1892,paralysis sleep,B1,stereotyped motor movements,C0456511,
ASD1893,intrusive thought,B3,preoccupation,C0558066,
ASD1894,hearing difficulty,A3,difficulties in making friends,C1313969,
ASD1895,"disorder, binge-eating",E,intellectual developmental disorder,C0596170,
ASD1896,"depression, mental",E,intellectual disability,C0011570,
ASD1897,adolescent problem behavior,B2,ritualized patterns of verbal behavior,C0850369,
ASD1898,circling gait,B1,stereotyped motor movements,C0231706,
ASD1899,relationship problems (finding),A3,difficulties adjusting behavior,C0425168,
ASD1900,difficulty controlling anger,A3,difficulties adjusting behavior,C0563715,
ASD1901,competence,A2,poorly integrated nonverbal communication,C0086035,
ASD1902,behavior  poor responsiveness,A1,failure to respond to social interactions,C1398200,
ASD1903,decrease of fine motor speed,B1,repetitive motor movements,C2196233,
ASD1904,facial asymmetry,A2,lack of facial expressions,C1306710,
ASD1905,emotional upset,A1,reduced sharing of emotions,C0677661,
ASD1906,quality,B2,inflexible adherence to routines,C0332306,
ASD1907,delayed sleep phase syndrome,B1,echolalia,C0393770,
ASD1908,hypermobility syndrome,E,intellectual developmental disorder,C0152093,
ASD1909,inconsistent,A2,lack of nonverbal communication,C0442809,
ASD1910,emotional lability (in some),A1,reduced sharing of emotions,C3552907,
ASD1911,panic symptoms,B3,preoccupation,C2945698,
ASD1912,feeling mixed emotions,A1,reduced sharing of emotions,C0233495,
ASD1913,self-perceptions,B3,preoccupation,C0242498,
ASD1914,control anger,A1,reduced sharing of emotions,C0870135,
ASD1915,sense of unfounded dread,B3,preoccupation,C1821128,
ASD1916,thinking irrational,B2,rigid thinking patterns,C0235204,
ASD1917,fluid behavior,B2,ritualized patterns of nonverbal behavior,C0444611,
ASD1918,difficulty eating,A3,difficulties in making friends,C0518085,
ASD1919,multiple symptoms,B1,repetitive motor movements,C0231217,
ASD1920,on a daily basis,A1,failure to initiate social interactions,C3845366,
ASD1921,dysthymic disorders,E,intellectual developmental disorder,C0013415,
ASD1922,sebastian syndrome,E,intellectual developmental disorder,C1854520,
ASD1923,upper extremity jerking,B1,repetitive motor movements,C0241533,
ASD1924,"mental impairment, mild to moderate",E,intellectual disability,C1969457,
ASD1925,response inhibition,B1,echolalia,C1510574,
ASD1926,poor manual dexterity,B1,repetitive motor movements,C0556283,
ASD1927,self-initiated health seeking behavior,B2,ritualized patterns of verbal behavior,C0516638,
ASD1928,miller-dieker syndrome,E,intellectual developmental disorder,C0265219,
ASD1929,difficulty managing medication,B2,difficulties with transitions,C0562944,
ASD1930,melas syndrome,E,intellectual developmental disorder,C0162671,
ASD1931,substance abuse problems,A3,difficulties in making friends,C0740858,
ASD1932,tightness sensation quality,B4,hyper-reactivity to sensory input,C0439816,
ASD1933,refused,B2,eat same food,C1705116,
ASD1934,bad,B4,excessive smelling,C0205169,
ASD1935,learning and language difficulties (in some patients),A2,deficits in understanding and use of gestures,C4229306,
ASD1936,schwartz jampel syndrome,E,intellectual developmental disorder,C0036391,
ASD1937,sleep onset association disorder,E,intellectual developmental disorder,C1960519,
ASD1938,mental health,A1,social-emotional reciprocity,C0025353,
ASD1939,behaviour assessment,B2,ritualized patterns of verbal behavior,C1160858,
ASD1940,health and behavior,B2,ritualized patterns of verbal behavior,C0018687,
ASD1941,"behavior, avoidance",B2,ritualized patterns of nonverbal behavior,C0178494,
ASD1942,body awareness,A2,abnormalities in body language,C0870212,
ASD1943,problem  learning,E,intellectual developmental disorder,C0851265,
S0001,ability to converse in social settings,A1,failure to respond to social interactions,C0748872,
S0002,ability to convey appropriate level of detail,A2,poorly integrated verbal communication,C0235198,
S0003,ability to convey correct information,A1,failure to initiate social interactions,C0589140,
S0004,ability to convey feelings,A1,failure to initiate social interactions,C0566180,
S0005,ability to convey information,A1,failure to initiate social interactions,C0589140,
S0006,ability to engage in casual conversation,A1,failure to initiate social interactions,C1948140,
S0007,ability to initiate speech,A2,lack of nonverbal communication,C1527344,
S0008,ability to sustain speech,A2,lack of facial expressions,C0235198,
S0009,able to initiate a social interaction,A1,failure to initiate social interactions,C2364293,
S0010,abnormal activity or energy level,A3,difficulties adjusting behavior,C2045663,
S0011,abnormal craving,A3,difficulties adjusting behavior,C0870371,
S0012,abnormal idiosyncratic negative response to specific sensory stimuli,B4,hyper-reactivity to sensory input,C1861467,
S0013,abnormal non-verbal communication,A2,poorly integrated verbal communication,C0028325,
S0014,abnormal response to sound,B4,adverse response to specific sounds,C0585349,
S0015,abnormal speech due to other impairment,A2,abnormalities in body language,C1955750,
S0016,abnormal speech,A2,abnormalities in body language,C0233715,
S0017,abnormality of toe walking,A2,abnormalities in body language,C1850809,
S0018,abstract thinking,B2,rigid thinking patterns,C0459920,
S0019,acting before thinking,B2,rigid thinking patterns,C0025361,
S0020,actively seeks and plays cooperatively in several different groups,B4,unusual interest in sensory aspects of the environment,C0566127,
S0021,adaptive life skills,A3,difficulties adjusting behavior,C0678999,
S0022,adherence to rituals and routines,B2,inflexible adherence to routines,C1837653,
S0023,adherence to routine,B2,inflexible adherence to routines,C0376405,
S0024,adherence to rules in the community,B2,inflexible adherence to routines,C0813963,
S0025,adherence to rules in the home,B2,inflexible adherence to routines,C1837653,
S0026,aggressive behavior,A3,difficulties adjusting behavior,C0001807,
S0027,agrees to interact with other children,A1,failure to initiate social interactions,C0558182,
S0028,always been a loner,A3,absence of interest in peers,C2677702,
S0029,an interest in infant toys,B4,unusual interest in sensory aspects of the environment,C0517073,
S0030,analytic capability,B3,highly restricted interests,C2009193,
S0031,anger control,B2,extreme distress at small changes,C0870135,
S0032,angry in response to change in routine,B4,unusual interest in sensory aspects of the environment,C0585349,
S0033,answers virtually no questions in a meaningful manner,A1,reduced sharing of interests,C1820709,
S0034,appears not to pick up on conversational cues well,A1,failure to respond to social interactions,C0560859,
S0035,appropriate response to overtures by familiar and unfamiliar adults,A1,failure to respond to social interactions,C0566159,
S0036,appropriateness of social responses,A1,failure to respond to social interactions,C4064023,
S0037,aprosodic speech,A2,abnormalities in body language,C0233718,
S0038,arm biting,A3,difficulties adjusting behavior,C0562666,
S0039,arm flapping,A2,lack of facial expressions,C0424248,
S0040,arm waving when excited,B4,unusual interest in sensory aspects of the environment,C1836834,
S0041,arranging objects in straight line,B1,use of objects,C2182744,
S0042,asperger syndrome,B2,need to take same route,C0238111,
S0043,assiduously avoided any eye contact,B2,need to take same route,C0870532,
S0044,association of loss of language with physical illness,A3,difficulties in making friends,C0086439,
S0045,attachment to an unusual object causes significant distress on separation,A3,difficulties in making friends,C2230008,
S0046,attachment to other unusual object beyond age,B4,unusual interest in sensory aspects of the environment,C2168712,
S0047,attachment to shooter comforter,B4,adverse response to specific textures,C4061728,
S0048,attention and focus,A1,failure to respond to social interactions,C0589098,
S0049,attention to voice,A2,poorly integrated verbal communication,C0566193,
S0050,atypical child with whom to interact,A3,absence of interest in peers,C3710336,
S0051,atypical pragmatic language skills,A2,poorly integrated nonverbal communication,C1145677,
S0052,atypical prosody,A2,lack of facial expressions,C0233743,
S0053,atypical stereotypic motor mannerisms,B1,simple motor stereotypies,C0233576,
S0054,self-stimulation auditory,B4,excessive touching of objects,C0155537,
S0055,autism high level visualizer,B4,visual fascination with lights,C3840214,
S0056,autism spectrum disorder related condition,E,intellectual developmental disorder,C1510586,
S0057,autism spectrum disposition,E,intellectual developmental disorder,C1510586,
S0058,autistic disorder,E,intellectual developmental disorder,C0004352,
S0059,avoidant of mutual play,B4,unusual interest in sensory aspects of the environment,C0035820,
S0060,avoided direct gaze,B4,visual fascination with lights,C0553544,
S0061,avoided eye contact,A2,abnormalities in eye contact,C0870532,
S0062,avoiding any eye contact,A2,abnormalities in eye contact,C0870532,
S0063,avoids play with subject's peers,A3,absence of interest in peers,C4064319,
S0064,awareness and avoidance of danger,B4,unusual interest in sensory aspects of the environment,C3146223,
S0065,awareness of harmful social situations,A1,failure to initiate social interactions,C0748872,
S0066,awareness of social and personal space,B4,unusual interest in sensory aspects of the environment,C4064023,
S0067,awareness of social cues,A1,failure to respond to social interactions,C0037427,
S0068,becomes upset if parents fail to follow specific car route,B4,unusual interest in sensory aspects of the environment,C2317765,
S0069,becomes very upset with change to subject's routine,B2,extreme distress at small changes,C0509487,
S0070,behaves as if deaf,A2,abnormalities in body language,C3843465,
S0071,bites fingers until red and swollen,B4,excessive touching of objects,C0457084,
S0072,body posture,B1,use of objects,C1262869,
S0073,body posturing,B2,rigid thinking patterns,C0858888,
S0074,body rocking,A3,difficulties adjusting behavior,C0005899,
S0075,bothered by loud volume on radio,B4,visual fascination with lights,C0423537,
S0076,brief definit direct gaze,B3,excessively circumscribed interest,C0553544,
S0077,can perform unexpected action with unexpected object when requested,B4,excessive touching of objects,C2183417,
S0078,can usually get object from another room when requested,B2,need to take same route,C0374529,
S0079,cannot be engaged,B3,highly restricted interests,C0205258,
S0080,cannot initiate conversation,A1,failure to initiate social interactions,C2317765,
S0081,carefully scrutinizes parts of toys,B4,unusual interest in sensory aspects of the environment,C2095575,
S0082,certainly does seek out attention,B2,need to take same route,C0564225,
S0083,changes can be very upsetting to subject,B4,unusual interest in sensory aspects of the environment,C0564664,
S0084,child always different,B2,need to take same route,C2317765,
S0085,circumscribed interests,B3,excessively circumscribed interest,C0543488,
S0086,clapping hands on thighs in a very rapid fashion,B4,unusual interest in sensory aspects of the environment,C2203000,
S0087,clear social quality,A1,abnormal social approach,C4064023,
S0088,clear-cut abnormalities in area of social interaction,A2,abnormalities in body language,C4064037,
S0089,combined communication and social intereaction functioning,A2,lack of nonverbal communication,C0037395,
S0090,"communicates by grunting, screaming, crying",A1,failure to initiate social interactions,C0521008,
S0091,communicates by grunting,B4,unusual interest in sensory aspects of the environment,C0234892,
S0092,communicates by screaming,B4,unusual interest in sensory aspects of the environment,C0849961,
S0093,communicates by crying,A1,failure to initiate social interactions,C1821313,
S0094,communication capability,A2,poorly integrated verbal communication,C0009452,
S0095,communication verbal,A2,poorly integrated verbal communication,C0150820,
S0096,community life skills,A3,difficulties adjusting behavior,C0678999,
S0097,complications in infancy,A3,difficulties in making friends,C1860834,
S0098,comprehension of simple language,A2,lack of nonverbal communication,C0233733,
S0099,compulsion for jigsaw puzzles,B4,unusual interest in sensory aspects of the environment,C0010297,
S0100,compulsions or rituals,B2,rigid thinking patterns,C0600104,
S0101,compulsive behavior,A3,difficulties adjusting behavior,C0600104,
S0102,consistent lack of social reciprocity,A1,social-emotional reciprocity,C4064023,
S0103,consistently and persistently avoids approaches of other children,A3,absence of interest in peers,C0474413,
S0104,consistently nods spontaneously,A2,lack of facial expressions,C0085602,
S0105,consistently shakes head spontaneously,A2,lack of facial expressions,C0040822,
S0106,consistently uses eye gaze with vocalization,A2,poorly integrated verbal communication,C0553544,
S0107,constructive or imaginative play definite loss,A3,difficulties in sharing imaginative play,C1822065,
S0108,constructive or imaginative play possible loss,A3,difficulties in sharing imaginative play,C1822065,
S0109,constructive or imaginative play,A3,difficulties in sharing imaginative play,C1822065,
S0110,content of speech seems lacking much of the time,A2,poorly integrated verbal communication,C0848909,
S0111,continues stereotypical play,B1,simple motor stereotypies,C1822065,
S0112,continues to manifest atypicalities in interactional style and language pattern,B2,ritualized patterns of nonverbal behavior,C4065876,
S0113,control of emotional reactions,A1,failure to respond to social interactions,C0221736,
S0114,conventional or instrumental gestures,A2,poorly integrated verbal communication,C0017510,
S0115,conversation flows,A2,poorly integrated verbal communication,C0566087,
S0116,conversational skills,A2,poorly integrated nonverbal communication,C2018051,
S0117,could not be engaged in social interaction,A1,failure to initiate social interactions,C4064666,
S0118,cry as hypersensitive to stimulus,B4,hyper-reactivity to sensory input,C1154327,
S0119,daily spontaneous and meaningful speech,A2,poorly integrated verbal communication,C0855217,
S0120,decision making ability,A3,difficulties adjusting behavior,C0582561,
S0121,decreased eye contact,A2,abnormalities in eye contact,C0870532,
S0122,decreased interaction with other children,A3,absence of interest in peers,C1287531,
S0123,decreased social interactions,A1,failure to initiate social interactions,C0037420,
S0124,definite abnormal wringing hand movements mainly in the midline,A2,abnormalities in body language,C0497202,
S0125,definite circumscribed interest that causes clear cut social impairment,B3,excessively circumscribed interest,C1879328,
S0126,definite circumscribed interest that does not cause substantial interference with social functioning,A3,absence of interest in peers,C0548554,
S0127,definite frequent hand mannerisms or finger flicking,A2,abnormalities in body language,C2678184,
S0128,definite frequent other mannerisms or stereotypies,B1,simple motor stereotypies,C0233576,
S0129,definite lack of appreciation of social cues contexts or requirements,A1,failure to respond to social interactions,C0456814,
S0130,definite loss of articulation,A2,lack of facial expressions,C0542223,
S0131,definite loss of communicative intent,A3,difficulties in sharing imaginative play,C0456814,
S0132,definite loss of five meaningful words use,A2,lack of facial expressions,C2183417,
S0133,definite loss of syntactical skills,A2,poorly integrated nonverbal communication,C2189311,
S0134,definite preoccupation that causes substantial interference or social impairment,A3,"deficits in developing, maintaining, and understand relationships, ranging",C2230008,
S0135,definite repetitive preoccupation that intrudes into family life,A3,absence of interest in peers,C2230008,
S0136,definite sensitivity to noises,B4,adverse response to specific sounds,C3843207,
S0137,definite sensitivity to interfere with family routines,B4,unusual interest in sensory aspects of the environment,C0558182,
S0138,definite sensitivity to noises that are not distressing to most other people,B4,adverse response to specific sounds,C3710336,
S0139,definite unusual and marked resistance to minor changes in subjects own routines,B4,unusual interest in sensory aspects of the environment,C3805922,
S0140,definite unusual and marked resistance to trivial changes in the environment,B4,unusual interest in sensory aspects of the environment,C2045680,
S0141,definite unusual reaction to trivial changes in the environment,B4,unusual interest in sensory aspects of the environment,C2168712,
S0142,definite unusual reactions to minor changes in subjects own routines,B4,unusual interest in sensory aspects of the environment,C3710336,
S0143,delayed language,A3,difficulties adjusting behavior,C0023012,
S0144,delayed articulation,A2,lack of facial expressions,C0566625,
S0145,delayed echolalia,B1,echolalia,C0013528,
S0146,delayed language abilities,A3,difficulties adjusting behavior,C0023012,
S0147,delayed or lack of receptive language,A2,lack of nonverbal communication,C0454642,
S0148,delayed phrases,A2,poorly integrated verbal communication,C0233741,
S0149,delayed speech and language development,A2,abnormalities in body language,C0454644,
S0150,delayed speech and language,A2,abnormalities in body language,C0237113,
S0151,delayed speech,A2,poorly integrated verbal communication,C0241210,
S0152,delayed walked unaided,A2,poorly integrated verbal communication,C0241726,
S0153,delayed word,A2,poorly integrated verbal communication,C0023012,
S0154,deliberate self harm,A1,failure to initiate social interactions,C0085271,
S0155,"desire for sameness, some intolerance for change",B2,insistence on sameness,C0509487,
S0156,destructive behavior,A3,difficulties adjusting behavior,C0233520,
S0157,development definitly abnormal in the first 3 years not unambiguously autistic at that age,A2,abnormalities in body language,C1971332,
S0158,development definitly abnormal in the first 3 years strongly indicative of autism,A2,abnormalities in body language,C0154627,
S0159,development of spoken speech,A2,lack of nonverbal communication,C0237113,
S0160,development or regression of language skills,A1,failure to respond to social interactions,C4014493,
S0161,development probably abnormal by the age of 3 years,E,global developmental delay,C1848395,
S0162,developmental capability,E,global developmental delay,C0458003,
S0163,developmental process,E,global developmental delay,C0458003,
S0164,did initiate contact,B2,need to take same route,C0154251,
S0165,did not actively engage with this examiner,B4,unusual interest in sensory aspects of the environment,C2317765,
S0166,did not establish good eye contact,B2,need to take same route,C0562122,
S0167,did not initiate any contact,B2,need to take same route,C0154251,
S0168,"did not initiate any interaction, verbal or nonverbal",A1,failure to initiate social interactions,C4064081,
S0169,not initiate any verbal interaction,A1,failure to initiate social interactions,C4064031,
S0170,not initiate any nonverbal interaction,A2,lack of nonverbal communication,C4064031,
S0171,did not participate in any turn taking activities,A1,failure to initiate social interactions,C2317765,
S0172,did not show any evidence of initiating an interaction,B2,need to take same route,C0332126,
S0173,did not sustain eye contact,A2,lack of facial expressions,C0562122,
S0174,did show evidence of initiating an interaction,B4,unusual interest in sensory aspects of the environment,C1287531,
S0175,differently interacting with other children,A1,failure to respond to social interactions,C1287531,
S0176,difficult to engage in spontaneous conversation,A1,failure to initiate social interactions,C0562450,
S0177,difficult to maintain eye contact,A2,abnormalities in eye contact,C4022680,
S0178,difficult to obtain or maintain eye contact,A3,difficulties in making friends,C0235198,
S0179,difficulties with minor changes in subjects own routines,A3,difficulties adjusting behavior,C0813963,
S0180,difficulties with minor changes in personal environment,A3,difficulties in making friends,C0814594,
S0181,difficulty answering questions,A3,difficulties adjusting behavior,C4036182,
S0182,difficulty conveying wants and needs with language,A2,poorly integrated nonverbal communication,C1948155,
S0183,difficulty conveying needs with language,A2,poorly integrated nonverbal communication,C0564213,
S0184,difficulty establishing close relationships,A3,difficulties adjusting behavior,C1827663,
S0185,difficulty making conversation,A2,lack of nonverbal communication,C0566063,
S0186,"difficulty playing with peers, particularly in terms of both initiating and maintaining contact",A1,failure to initiate social interactions,C0517892,
S0187,difficulty sustaining conversation,A3,difficulties adjusting behavior,C0566093,
S0188,difficulty understanding appropriate use of pronouns and speaking,A2,lack of nonverbal communication,C2183452,
S0189,difficulty using non-verbal communication,A2,lack of nonverbal communication,C0566009,
S0190,difficulty with changes in routine,B2,difficulties with transitions,C0332218,
S0191,difficulty with concrete speech and language,A2,lack of nonverbal communication,C0237113,
S0192,difficulty with conversational skills,A2,lack of nonverbal communication,C2018051,
S0193,difficulty with social interaction,A1,failure to initiate social interactions,C0037420,
S0194,diminished eye contact with examiner,B4,unusual interest in sensory aspects of the environment,C0870532,
S0195,direct gaze,B4,visual fascination with movement,C0553544,
S0196,disregards all attempts to interact with subject,B4,unusual interest in sensory aspects of the environment,C0813963,
S0197,distant or preoccupied affect,A3,absence of interest in peers,C0233470,
S0198,distress if parents drive different way to grandmother's house,B4,unusual interest in sensory aspects of the environment,C2317765,
S0199,does not appropriately respond verbally,A1,failure to respond to social interactions,C2317765,
S0200,does not consistently appear to pay attention,B4,unusual interest in sensory aspects of the environment,C2317765,
S0201,does not engage in meaningful reciprocal social interactions,A1,social-emotional reciprocity,C4064666,
S0202,does not engage in much imaginative play,A3,difficulties in sharing imaginative play,C1822065,
S0203,does not engage in reciprocal play,A1,social-emotional reciprocity,C1822065,
S0204,does not engage or play with other children normally,A1,failure to initiate social interactions,C3476168,
S0205,does not establish eye contact,B2,need to take same route,C0562122,
S0206,does not have good peer relationships,A3,absence of interest in peers,C4064030,
S0207,does not initiate any social behavior with family or individuals,A1,failure to initiate social interactions,C2317765,
S0208,does not initiate conversation,A1,failure to initiate social interactions,C2317765,
S0209,does not interact much with other children,A1,failure to respond to social interactions,C0558182,
S0210,does not interact with other children,A1,failure to respond to social interactions,C0558182,
S0211,does not interact with peers,A3,absence of interest in peers,C0558182,
S0212,does not like to be touched,B2,need to take same route,C0562122,
S0213,does not make good eye contact,A2,abnormalities in eye contact,C0562122,
S0214,does not mix with other children,B4,unusual interest in sensory aspects of the environment,C2317765,
S0215,does not play with manipulative toys,A1,failure to initiate social interactions,C4064319,
S0216,does not play with other children,A1,failure to initiate social interactions,C3476168,
S0217,does not play with others,A1,failure to initiate social interactions,C4064319,
S0218,does not play with toys appropriately,A1,failure to initiate social interactions,C4064319,
S0219,does not play with toys in the fashion intended,A1,failure to initiate social interactions,C4064319,
S0220,does not play with toys,A1,failure to initiate social interactions,C4064319,
S0221,does not respond to pain appropriately,B2,need to take same route,C2317765,
S0222,does not seek out contact with other children,A1,failure to initiate social interactions,C2317765,
S0223,does not show any interest in peer relations,A3,absence of interest in peers,C2317765,
S0224,does not use body posture to communicate,B4,unusual interest in sensory aspects of the environment,C2317765,
S0225,does not use gestures to communicate,A1,failure to initiate social interactions,C2317765,
S0226,does not use pronouns,A2,lack of nonverbal communication,C0564225,
S0227,does not usually play with other children,A1,failure to initiate social interactions,C3476168,
S0228,does spontaneously seek to share interests or achievements with other people,B4,unusual interest in sensory aspects of the environment,C4064036,
S0229,doesn't have much interaction with children,B4,unusual interest in sensory aspects of the environment,C3843303,
S0230,doesn't play games with family members or friends,A3,difficulties in making friends,C0848487,
S0231,doesn't play with anyone,B4,visual fascination with lights,C3843303,
S0232,doesn't socially interact,A1,failure to initiate social interactions,C3843303,
S0233,drug abuse,A3,difficulties adjusting behavior,C0740858,
S0234,easily upset by change in routines,B2,extreme distress at small changes,C2164343,
S0235,easily upset when routines are broken,B4,unusual interest in sensory aspects of the environment,C0424102,
S0236,eats abnormal objects,B1,flipping objects,C0424377,
S0237,echo speech,A2,poorly integrated verbal communication,C0013528,
S0238,echolalia tendencies heard,B4,unusual interest in sensory aspects of the environment,C0013528,
S0239,echolalic tendencies in subject's toddler years,A3,absence of interest in peers,C2034435,
S0240,echophrasia,B1,idiosyncratic phrases,,
S0241,emotional outbursts,A1,reduced sharing of affect,C0679475,
S0242,emotional reciprocity capability,A1,social-emotional reciprocity,C4064035,
S0243,emotional regulation and control,A1,reduced sharing of affect,C2219943,
S0244,emotional swings,A3,difficulties adjusting behavior,C0085633,
S0245,enamored,B3,excessively circumscribed interest,C0849759,
S0246,engagement in social activities,A1,failure to initiate social interactions,C2937292,
S0247,engages in creative play,A3,difficulties in sharing imaginative play,C1822065,
S0248,engages in meaningful reciprocal social interactions,A1,social-emotional reciprocity,C0037420,
S0249,engages in much imaginative play,A3,difficulties in sharing imaginative play,C1822065,
S0250,engages in no definite social play with age mates,A1,failure to initiate social interactions,C4064666,
S0251,engaging in social conversation,A1,failure to initiate social interactions,C0814554,
S0252,engaging in social play,A3,difficulties in sharing imaginative play,C1822065,
S0253,engaging in some repetitive behavior,A1,failure to initiate social interactions,C2048445,
S0254,engaging in some repetitive behaviors,A1,failure to initiate social interactions,C2048445,
S0255,enjoys parallel active play but little or no cooperative play,A1,failure to initiate social interactions,C4064319,
S0256,enjoys spinning wheels of cars,B4,visual fascination with lights,C2182623,
S0257,enjoys spinning,B3,highly restricted interests,C0042571,
S0258,enjoys watching spinning fans,B4,visual fascination with lights,C0150593,
S0259,enters into interactions with other children,A1,failure to initiate social interactions,C1287531,
S0260,excessive focus on cars and trains,B4,unusual interest in sensory aspects of the environment,C2063128,
S0261,executive function,A2,abnormalities in body language,C0935584,
S0262,expressionless face,A2,lack of facial expressions,C0813217,
S0263,"expressive language, often echolalic-like",B4,adverse response to specific sounds,C0236826,
S0264,expressive language,A2,poorly integrated verbal communication,C0233733,
S0265,expressive lexicon,A2,poorly integrated nonverbal communication,C0454641,
S0266,expressive morphology,A3,difficulties adjusting behavior,C0454641,
S0267,expressive phonology,A2,poorly integrated nonverbal communication,C4035654,
S0268,expressive semantics,A2,poorly integrated verbal communication,C0233733,
S0269,expressive syntax,A2,poorly integrated verbal communication,C4035654,
S0270,eye contact abnormal,A2,abnormalities in eye contact,C0870532,
S0271,eye contact difficult to obtain,B2,need to take same route,C0870532,
S0272,tends to be fleeting,B2,need to take same route,C0564664,
S0273,eye contact fair,B3,highly restricted interests,C0870532,
S0274,eye contact fleeting,A3,difficulties adjusting behavior,C0870532,
S0275,eye contact is observed 3 times during 45 minute interview,A2,poorly integrated verbal communication,C1971332,
S0276,eye contact is present about 1/2 of time weight loss,,,C1971332,
S0277,eye contact is present only sporadically,B4,unusual interest in sensory aspects of the environment,C0870532,
S0278,exhibits social smile only sporadically,B3,excessively circumscribed interest,C2198595,
S0279,eye contact is virtually nill,B2,need to take same route,C0870532,
S0280,eye contact less than optimal,A2,lack of facial expressions,C3828954,
S0281,eye contact mildly diminished,A2,lack of facial expressions,C0870532,
S0282,eye contact moderately reduced,A3,difficulties adjusting behavior,C0870532,
S0283,eye contact never established,B3,highly restricted interests,C0870532,
S0284,eye contact non-existent,A3,absence of interest in peers,C0870532,
S0285,eye contact of marginal quality,A2,lack of facial expressions,C4229998,
S0286,eye contact only fleetingly achieved,B2,need to take same route,C0870532,
S0287,eye contact very poor,B3,highly restricted interests,C1445953,
S0288,marginal eye contact,A2,abnormalities in eye contact,C0870532,
S0289,usually fleeting eye contact,A2,lack of facial expressions,C0870532,
S0290,typified eye contact by lack of social acknowledgment,A3,difficulties in sharing imaginative play,C4064031,
S0291,eye contact was variable,A3,absence of interest in peers,C0870532,
S0292,eye contact,A2,poorly integrated verbal communication,C0870532,
S0293,eye to eye gaze,B2,eat same food,C0271384,
S0294,facial expression is lacking for any social interchange,A2,lack of facial expressions,C2009191,
S0295,facial expression range,A2,lack of facial expressions,C0015457,
S0296,facial expression,A2,lack of facial expressions,C0015457,
S0297,facial expressions almost always appropriate to mood situation and context,A2,lack of facial expressions,C4062278,
S0298,"facial expressions constricted, and eye contact",A2,lack of facial expressions,C0015457,
S0299,facial expressions obviously inappropriate in several different situations,A2,lack of facial expressions,C4062278,
S0300,facial expressions slightly or occasionally inappropriate or odd,A2,lack of facial expressions,C4062278,
S0301,facial expressions,A2,lack of facial expressions,C0015457,
S0302,fails to use language as a form of social interaction,A1,failure to respond to social interactions,C4064666,
S0303,fans the pages of a book 20 minutes at a time,B4,visual fascination with lights,C1971332,
S0304,fascinated by anything with letters,B4,visual fascination with lights,C0233763,
S0305,fascinated by mechanical objects,B4,visual fascination with lights,C0423995,
S0306,fascinated by parts of objects,B1,use of objects,C0815101,
S0307,fascinated by spinning objects,B4,visual fascination with lights,C0562463,
S0308,fascinated by the sound when computer is turned on,B4,unusual interest in sensory aspects of the environment,C2142822,
S0309,fascinated with dolls that have eyes that open and close,B4,visual fascination with lights,C3830277,
S0310,fascination with engines and keys,B4,visual fascination with lights,C2182632,
S0311,fascination with spinning fans,B4,visual fascination with lights,C0562463,
S0312,fascination with water,B4,visual fascination with lights,C4060983,
S0313,fast forward and rewinds videos to which subject is deeply attached and sleeps with,B4,unusual interest in sensory aspects of the environment,C0374529,
S0314,fearful to try new activities,B2,need to take same route,C0563083,
S0315,few or no attempts to share enjoyments,B4,unusual interest in sensory aspects of the environment,C4035425,
S0316,fewer than five words total or speech not used on a daily basis,A2,poorly integrated verbal communication,C1838026,
S0317,fills and empties bank with coins repeatedly,B4,visual fascination with lights,C0340643,
S0318,fine motor skills,A3,difficulties adjusting behavior,C2164866,
S0319,finger flicking in front of face,A2,lack of facial expressions,C0233592,
S0320,finger flicking,B1,repetitive motor movements,C0233592,
S0321,finger wiggling,A2,lack of facial expressions,C0233592,
S0322,first and second person confusion after phrase speech established,A2,poorly integrated nonverbal communication,C2018039,
S0323,first walked unaided milestone not reached,A2,poorly integrated verbal communication,C2182618,
S0324,fixated on horses,B3,highly fixated interests,C2186606,
S0325,fixation on certain objects and colors,B3,highly fixated interests,C2183423,
S0326,flapping movements of hands,B4,excessive touching of objects,C1866128,
S0327,flat facial expression,A2,lack of facial expressions,C0015457,
S0328,flexibly and spontaneously offers comfort,B4,unusual interest in sensory aspects of the environment,C1948155,
S0329,focused attention on wheels of car,B4,unusual interest in sensory aspects of the environment,C0589098,
S0330,frequent attempts to direct attention to things enjoys,B4,unusual interest in sensory aspects of the environment,C3259698,
S0331,frequent spontaneous and varied offers to share objects,B4,unusual interest in sensory aspects of the environment,C0813963,
